,Disease,Symptoms
10,Acidosis,"Confusion, Fatigue(Feeling Tired), Lethargy, Shortness of breath, Sleepiness"
11,Acne,"Crusting of skin bumps, Cysts, Papules (small red bumps), Pustules (small red bumps containing white or yellow pus), Redness around the skin eruptions, Scarring of the skin, Blackheads"
12,Acoustic neuroma,"Fainting/Drowsiness, Abnormal feeling of movement, Hearing loss, Ringing (tinnitus) in the affected ear, Difficulty understanding speech, Headache, Loss of balance, Numbness in the face or one ear, Pain in the face or one ear, Weakness of the face or facial asymmetry"
13,Acrodysostosis,"Frequent middle ear infections, Growth problems, short arms and legs, Hearing problems, Intellectual disability, The body doesn't respond to certain hormones, even though hormone levels are normal, Distinct facial features"
14,Acromegaly,"Blood in the stool, Fatigue(Feeling Tired), Headache, Body odor, Carpal tunnel syndrome, weakness, Decreased peripheral vision, gaps between the teeth, Enlarged tongue, Excessive height, Excessive sweating, Heart enlargement, which can cause fainting or shortness of breath, Hoarseness, Jaw pain, Joint pain, Large bones of the face, large jaw and tongue, widely spaced teeth, Large feet (change in shoe size), large hands (change in ring or glove size), Large glands in the skin (sebaceous glands) causing oily skin, thickening of the skin, skin tags (growths), Sleep apnea"
15,Acute adrenal crisis,"Pain in the abdomen, Fainting/Drowsiness, Nausea and vomiting, Rapid heart rate, Low blood pressure, Confusion, Fatigue(Feeling Tired), Headache, Dehydration, fever, Loss of appetite, Low blood sugar, Rapid respiratory rate, Slow, sluggish movement, Unusual and excessive sweating on face or palms"
16,Acute arterial occlusion - kidney,"Pain in the abdomen, Decreased urine output, Back pain, Blood in the urine, pain in the side"
17,Acute bronchitis,"Fatigue(Feeling Tired), Chest discomfort, Cough that produces mucus -- the mucus may be clear or yellow-green, Fever-- usually low-grade, Shortness of breath that gets worse with activity, Wheezing"
18,Acute cerebellar ataxia,"Clumsy speech pattern (dysarthria), Repetitive eye movements (nystagmus), Uncoordinated eye movements, Walking problems (unsteady gait) that can lead to falls, Difficulty controlling arm movements"
19,Acute cholecystitis,"Nausea and vomiting, Fever-- usually low-grade, Sharp, cramping, or dull pain, Steady pain, Pain that spreads to your back or below your right shoulder blade, Clay-colored stools, Yellowing of skin and whites of the eyes (jaundice)"
20,Acute coronary syndrome,"Nausea and vomiting, Shortness of breath, Excessive sweating, Pain in the shoulder, arm, neck, jaw, back, or belly area, Discomfort that feels like tightness, squeezing, crushing, burning, choking, or aching, Discomfort that occurs at rest and does not easily go away when you take medicine, Anxiety, Feeling dizzy or lightheaded, Fast or irregular heartbeat"
21,Acute flaccid myelitis,"Weakness of the face or facial asymmetry, Drooping eyelids, Difficulty moving the eyes, Slurred speech or difficulty swallowing, Stiffness in the neck, Pain in the arms or legs, Inability to pass urine, Respiratory failure, when muscles involved in breathing become weak, Serious nervous system problems, which may lead to death"
22,Acute kidney failure,"Nausea and vomiting, Convulsions (seizures), Blood in the stool, Fatigue(Feeling Tired), Shortness of breath, Loss of appetite, Breath odor and metallic taste in the mouth, Changes in mental status or mood, Decreased sensation, especially in the hands or feet, Flank pain(between the ribs and hips), Hand tremor, Heart murmur, High blood pressure, Nosebleeds, Persistent hiccups, Prolonged bleeding, Swelling due to the body keeping in fluid (may be seen in the legs, ankles, and feet), Urination changes, such as little or no urine, excessive urination at night, or urination that stops completely, Easy bruising and bleeding"
23,Acute lymphoblastic leukemia,"weakness, Loss of appetite, Fever-- usually low-grade, Bone and joint pain, Easy bruising and bleeding, Paleness, Pain or feeling of fullness below the ribs from an enlarged liver or spleen, Pinpoint red spots on the skin, Swollen lymph nodes in the neck, under arms, and groin, Night sweats"
24,Acute mountain sickness,"Fainting/Drowsiness, Nausea and vomiting, Bluish skin(fingernails and lips), Cough, Confusion, Fatigue(Feeling Tired), Shortness of breath, Headache, Loss of appetite, Difficulty sleeping, Chest tightness or congestion, Inability to walk in a straight line, or walk at all"
25,Acute myeloid leukemia,"Pale skin, Unintentional weight loss, Fatigue(Feeling Tired), Shortness of breath, Fever-- usually low-grade, Nosebleeds, Easy bruising and bleeding, Bleeding and swelling (rare) in the gums, Bone pain or tenderness, Heavy menstrual periods"
26,Acute nephritic syndrome,"Decreased urine output, Blood in the urine, High blood pressure, Swelling of the face, Swelling of eye, Swelling of legs, Swelling of arms, Swelling of hands, Swelling of feet, Swelling of abdomen"
27,Acute pancreatitis,"Clay-colored stools, Yellowing of skin and whites of the eyes (jaundice), Persistent hiccups, Swelling of abdomen, Bloating or abdominal gas, Indigestion"
28,Acute respiratory distress syndrome,"Low blood pressure, Shortness of breath, Rapid respiratory rate, Fast or irregular heartbeat"
29,Acute tubular necrosis,"Nausea and vomiting, Coma (lack of responsiveness), Decreased urine output, general swelling"
30,Addison disease,"Pain in the abdomen, Fainting/Drowsiness, Nausea and vomiting, Low blood pressure, Fatigue(Feeling Tired), Dehydration, Loss of appetite, Low blood sugar, Fever-- usually low-grade, diarrhea, Darkening of the skin, Salt craving"
31,Adenomyosis,"heavy menstrual bleeding, Painful menstrual periods, Pelvic pain during intercourse"
32,Adhesion,"Pain in the abdomen, Nausea and vomiting, Swelling of abdomen, Constipation, No longer being able to pass gas"
33,Adjustment disorder,"Acting defiant or showing impulsive behavior, Acting nervous, Crying, feeling sad or hopeless, and possibly withdrawing from other people, Skipped heartbeats and other physical complaints, Trembling or twitching"
34,Adrenoleukodystrophy,"Coma (lack of responsiveness), Convulsions (seizures), Difficulty swallowing liquids and solids, Hearing loss, Changes in muscle tone, especially muscle spasms and uncontrolled movements, Crossed eyes, Handwriting that gets worse, Difficulty at school, Difficulty understanding what people are saying, Hyperactivity, Visual impairment or blindness"
35,Agammaglobulinemia,"diarrhea, Bronchitis, Conjunctivitis, Otitis media(middle ear infection), Pneumonia(lung infection), Sinusitis(sinus infection), Skin infections, Upper respiratory tract infections"
36,Agoraphobia,"Being afraid of spending time alone, Being afraid of places where escape might be hard, Being afraid of losing control in a public place, Depending on others, Feeling detached or separated from others, Feeling helpless, Feeling that the body is not real, Feeling that the environment is not real, Having an unusual temper or agitation, Staying in the house for long periods"
37,Agranulocytosis,"Shock, weakness, Fever-- usually low-grade, Bone pain or tenderness, Pneumonia(lung infection), Malaise(general discomfortness,ill feeling or uneasiness), Chills, Sore throat, Mouth and throat ulcers"
38,Albinism,"Crossed eyes, No color in the hair, skin, or iris of the eye, Lighter than normal skin and hair, Patches of missing skin color, Light sensitivity, Rapid eye movements, Vision problems, or functional blindness, Numbness and tingling of hands or feet"
39,Alkalosis,"Nausea and vomiting, Confusion, Hand tremor, Lightheadedness, Muscle twitching, Prolonged muscle spasms(tetany)"
40,Allergic conjunctivitis,"Intense itching or burning eyes, Puffy eyelids, most often in the morning, Red eyes, Stringy eye discharge, Tearing (watery eyes), Widened blood vessels in the clear tissue covering the white of the eye"
41,Allergic reactions,"Red eyes, Tearing (watery eyes), Hives (especially over the neck and face), Itching, Nasal congestion, Rashes"
42,Allergic rhinitis,"Tearing (watery eyes), Itching, Problems with smell, Runny nose, Sneezing"
43,Alpha-1 antitrypsin deficiency,"Liver failure, Cough, Unintentional weight loss, Shortness of breath, Wheezing"
44,Alport syndrome,"Fatigue(Feeling Tired), Hearing loss, Loss of appetite, Blood in the urine, Flank pain(between the ribs and hips), High blood pressure, general swelling, Abnormal urine color, Excessive thirst, Abnormal shape of the lens, Corneal erosion, Abnormal coloring of the retina, Macular hole"
45,Alstrom syndrome,"Darkening of the skin, Visual impairment or blindness, Deafness, Impaired heart function, Obesity, Progressive kidney failure, Slowed growth, type 2 diabetes"
46,Alzheimer,"Difficulty performing more than one task at a time, Getting lost on familiar routes, Language problems, such as trouble remembering the names of familiar objects, Losing interest in things previously enjoyed and being in a flat mood, Misplacing items, Personality changes and loss of social skills, Change in sleep patterns, often waking up at night, Delusions, depression, and agitation, Difficulty doing basic tasks, Difficulty reading or writing, Forgetting details about current events, Hallucinations"
47,Amebiasis,"Unintentional weight loss, Fatigue(Feeling Tired), diarrhea, Abdominal cramps, Excessive gas, Rectal pain while having a bowel movement (tenesmus)"
48,Amebic liver abscess,"Cough, Unintentional weight loss, Excessive sweating, Loss of appetite, Fever-- usually low-grade, Yellowing of skin and whites of the eyes (jaundice), Persistent hiccups, diarrhea, Malaise(general discomfortness,ill feeling or uneasiness), Abdominal pain, more so in the right, upper part of the abdomen; pain is intense, continuous or stabbing"
49,Amyotrophic lateral sclerosis,"Difficulty breathing, Unintentional weight loss, Hoarseness, Delusions, depression, and agitation, Difficulty lifting, climbing stairs, and walking, Difficulty swallowing -- choking easily, drooling, or gagging, Head drop due to weakness of the neck muscles, Speech problems, such as a slow or abnormal speech pattern (slurring of words), Muscle cramps, Muscle stiffness, Muscle contractions, called fasciculations"
50,Anal cancer,"A lump in or near the anus, Anal pain, Itching in anal, Discharge from the anus, Change in bowel habits, Swollen lymph nodes in the groin or anal region"
51,Analgesic nephropathy,"Nausea and vomiting, Increased need to urinate, Decreased urine output, Fatigue(Feeling Tired), Back pain, Blood in the urine, Easy bruising and bleeding, general swelling, Decreased alertness"
52,Anaphylaxis,"Pain in the abdomen, Fainting/Drowsiness, Nausea and vomiting, Difficulty swallowing liquids and solids, Chest discomfort, Wheezing, Slurred speech or difficulty swallowing, Swelling of the face, Swelling of eye, diarrhea, Itching, Nasal congestion, Feeling anxious, Palpitations, swelling of tongue, Unconsciousness"
53,Anaplastic thyroid cancer,"Cough, Difficulty swallowing liquids and solids, Hoarseness, Coughing up blood, Loud breathing, Lower neck lump, which often grows quickly, Pain in throat, Vocal cord paralysis, Overactive thyroid"
54,Anemia,"Pale skin, Shortness of breath, Headache, Loss of appetite, Feeling dizzy or lightheaded, Mouth and throat ulcers, Feeling weak or tired more often than usual, or with exercise, Irritability, Numbness and tingling of hands or feet, Blue color to the whites of the eyes, Brittle nails, Desire to eat ice or other non-food things (pica syndrome), Sore or inflamed tongue, Abnormal or increased menstrual bleeding in females, Loss of sexual desire, Difficulty in thinking"
55,Angelman syndrome,"Convulsions (seizures), Heartburn, Intellectual disability, Crossed eyes, Loss of muscle tone (floppiness), Trouble feeding, Trembling arm and leg movements, Unstable or jerky walking, Little or no speech, Laughing and smiling often, Light hair, skin, and eye color compared to rest of family, Small head size compared to body, flattened back of head, Excessive movement of the hands and limbs, Sleep problems, Tongue thrusting, drooling, Unusual chewing and mouthing movements, Walking with arms uplifted and hands waving"
56,Anorectal abscess,"Fatigue(Feeling Tired), Fever-- usually low-grade, Constipation, Discharge of pus from the rectum, Redness, painful and hardened tissue in the area of the anus, Tenderness In anus swollen part"
57,Anorexia,"intense fear of gaining weight or becoming fat, Refuses to keep their weight at what is considered normal for their age and height (15% or more below the normal weight), Has a body image that is very distorted, is very focused on body weight or shape, and refuse to admit the danger of weight loss, Cutting food into small pieces or moving them around the plate instead of eating, Exercising all the time, even when the weather is bad, they are hurt, or their schedule is busy, Going to the bathroom right after meals, Refusing to eat around other people, Using pills to make themselves urinate"
58,Anterior cruciate ligament (ACL) injury,"A ""popping"" sound at the time of injury, Obvious knee swelling within 6 hours of injury, Pain, especially when you try to put weight on the injured leg, Difficulty in continuing with your sport, Feeling of instability"
59,Anthrax,"Pain in the abdomen, Nausea and vomiting, Shock, Cough, Shortness of breath, Headache, Fever-- usually low-grade, diarrhea, Malaise(general discomfortness,ill feeling or uneasiness), An itchy sore develops that is similar to an insect bite, The sore is usually painless, A scab often forms, and then dries and falls off within 2 weeks, chest pain"
60,Anti-glomerular basement membrane disease,"Pale skin, Nausea and vomiting, Cough, Fatigue(Feeling Tired), Shortness of breath, weakness, Loss of appetite, Blood in the urine, Coughing up blood, Burning sensation when urinating, Swelling (edema) in any area of the body, especially in the legs"
61,Anti-rust product poisoning,"Pain in the abdomen, Fainting/Drowsiness, Low blood pressure, Coma (lack of responsiveness), Kidney failure, Difficulty breathing, Loss of vision, Severe pain in the throat, Severe pain or burning in the nose, eyes, ears, lips, or tongue, Blood in the stool, Burns of the food pipe (esophagus), Vomiting blood, Throat swelling, Confusion, Headache, weakness, Having an unusual temper or agitation, Vomiting, Collapse of heart beat, Methemoglobinemia (very dark blood from abnormal red blood cells), Too much or too little acid in the blood, which leads to damage in all of the body organs, Asphyxia, Chemical pneumonitis, viral infection, Hemorrhagic pulmonary edema, Respiratory distress or failure, Pneumothorax, Pleural effusion, Empyema, Incoordination, Somnolence, Blurred vision, Brain damage from low oxygen level, Burns in skin, Irritation in skin, Holes (necrosis) in the skin or tissues underneath"
62,Anticoagulant rodenticides poisoning,"Pale skin, Shock, Low blood pressure, Stupor (lack of alertness), Blood in the stool, Vomiting blood, Blood in the urine, Nosebleeds, Bruising and bleeding under the skin"
63,Antidiarrheal drug overdose,"Fainting/Drowsiness, Slow and labored breathing, Coma (lack of responsiveness), Convulsions (seizures), Constipation, Hallucinations, Palpitations, Vomiting, Apathy (loss of desire to do anything), Slowdown or stoppage of the bowels, Dry mucous membranes in the mouth, Eye changes in pupil size, Eyes move quickly from side to side, Flushed skin, Restlessness, Urination difficulty"
64,Antifreeze poisoning,"Fainting/Drowsiness, Nausea and vomiting, Slow and labored breathing, Low blood pressure, Coma (lack of responsiveness), Convulsions (seizures), Stupor (lack of alertness), Decreased urine output, Fatigue(Feeling Tired), Headache, weakness, Rapid respiratory rate, Blood in the urine, Fast or irregular heartbeat, Slurred speech or difficulty swallowing, Visual impairment or blindness, Unconsciousness, Blurred vision, Leg cramps, Unsteady walk, Blue lips and fingernails"
65,Antisocial personality disorder,"act witty and charming, good at flattery and manipulating other people's emotions, Break the law repeatedly, Disregard the safety of self and others, Have problems with substance abuse, Lie, steal, and fight often, Not show guilt or remorse, Often be angry or arrogant"
66,Aortic arch syndrome,"Fainting/Drowsiness, Slow and labored breathing, Difficulty swallowing liquids and solids, weakness, Numbness and tingling of hands or feet, Blurred vision, Blood pressure changes, Reduced pulse, Transient ischemic attacks (TIA)"
67,Aortic dissection,"Pale skin, Pain in the abdomen, Fainting/Drowsiness, Nausea and vomiting, Difficulty swallowing liquids and solids, Shortness of breath, Excessive sweating, sharp, stabbing, tearing, or ripping chest pain, Anxiety and a feeling of doom, Stroke symptoms"
68,Aortic regurgitation,"Fainting/Drowsiness, Fatigue(Feeling Tired), Shortness of breath, weakness, Swelling of legs, Swelling of feet, Swelling of abdomen, Palpitations, chest pain, Bounding pulse, Waking up short of breath some time after falling asleep, Uneven, rapid, racing, pounding, or fluttering pulse"
69,Aortic stenosis,"Fainting/Drowsiness, Chest discomfort, Palpitations, Coughing up blood, Breathing problems when exercising, Becoming easily tired, Failure to gain weight, Poor feeding"
70,Aortopulmonary window,"Rapid respiratory rate, Fast or irregular heartbeat, Slowed growth, Irritability, Failure to gain weight, Heart failure, Respiratory infections"
71,Apert syndrome,"Mild to moderate short height, Hearing loss, Early closure of sutures between bones of the skull, noted by ridging along sutures, Frequent ear infections, Fusion or severe webbing of the 2nd, 3rd, and 4th fingers, often called ""mitten hands"", Large or late-closing soft spot on a baby's skull, Possible, slow intellectual development, Prominent or bulging eyes, Severe under-development of the midface, Skeletal (limb) abnormalities, Webbing or fusion of the toes"
72,Aplastic anemia,"Rapid heart rate, Fatigue(Feeling Tired), Shortness of breath, weakness, Feeling dizzy or lightheaded, Nosebleeds, Easy bruising and bleeding, Paleness, Low white cell count (leukopenia), Low platelet count (thrombocytopenia), Bleeding gums, Rash, small pinpoint red marks on the skin (petechiae), severe infections"
73,Appendicitis,"Nausea and vomiting, Fever-- usually low-grade, diarrhea, pain may be worse when you walk, cough, or make sudden movements, Chills and shaking, Hard stools"
74,Apraxia,"Distorted, repeated, or left out speech sounds or words, the person has difficulty putting words together in the correct order, Struggling to pronounce the right word, More difficulty using longer words, either all the time, or sometimes, Ability to use short, everyday phrases or sayings (such as ""How are you?"") without a problem, Better writing ability than speaking ability"
75,Arrhythmias,"Fainting/Drowsiness, Shortness of breath, Excessive sweating, Paleness, Palpitations, chest pain, Too slow (bradycardia) heart rate, Too quick (tachycardia) heart rate, Irregular, uneven, possibly with extra or skipped heart beats"
76,Arterial embolism,"Numbness and tingling of hands or feet, Cold arm or leg, Decreased or no pulse in an arm or leg, Lack of movement in the arm or leg, Pale color of the arm or leg (pallor), Weakness of an arm or leg"
77,Arthritis,"Joint pain, Joint swelling, Reduced ability to move the joint, Redness and warmth of the skin around a joint, Joint stiffness"
78,Asbestosis,"Cough, Shortness of breath that gets worse with activity, Chest tightness or congestion, chest pain, Clubbing of fingers, Nail abnormalities"
79,Ascariasis,"Pain in the abdomen, Shortness of breath, Fever-- usually low-grade, Wheezing, Rashes, Bloody sputum, Passing worms in stool, coughing up worms, Worms leaving the body through the nose or mouth"
80,Aspergillosis,"Cough, Unintentional weight loss, Decreased urine output, Shortness of breath, Headache, Fever-- usually low-grade, Wheezing, Bone pain or tenderness, Malaise(general discomfortness,ill feeling or uneasiness), Chills, Vision problems, or functional blindness, Coughing up blood, chest pain, Skin sores (lesions)"
81,Aspiration pneumonia,"Difficulty swallowing liquids and solids, Confusion, Fatigue(Feeling Tired), Shortness of breath, Excessive sweating, Fever-- usually low-grade, Wheezing, Breath odor and metallic taste in the mouth, chest pain, Coughing up foul-smelling, greenish or dark phlegm (sputum), or phlegm that contains pus or blood, Seeing food or tube feed material (if being fed artificially) in your sputum"
82,Asthma,"Difficulty breathing, Shortness of breath that gets worse with activity, Wheezing, Difficulty sleeping, Chest tightness or congestion, Cough with or without sputum (phlegm) production, Pulling in of the skin between the ribs when breathing (intercostal retractions), Abnormal breathing pattern (breathing out takes more than twice as long as breathing in), Bluish color to the lips and face (cyanosis)"
83,Ataxia - telangiectasia,"Convulsions (seizures), Decreased coordination of movements (ataxia) in late childhood that can include ataxic gait (cerebellar ataxia), jerky gait, unsteadiness, Decreasing mental development, slows or stops after age 10 to 12, Delayed walking, Discoloration of skin areas exposed to sunlight, Discoloration of skin (coffee-with-milk-colored spots), Enlarged blood vessels in skin of nose, ears, and inside of the elbow and knee, Enlarged blood vessels in the whites of the eyes, Jerky or abnormal eye movements (nystagmus) late in the disease, Premature graying of the hair, Sensitivity to radiation, including x-rays, Severe respiratory infections that keep coming back (recurring)"
84,Atopic dermatitis,"Blisters with oozing and crusting, Dry skin all over the body, or areas of bumpy skin on the back of the arms and front of the thighs, Ear discharge or bleeding, Raw areas of the skin from scratching, Skin color changes, such as more or less color than the normal skin tone, Skin redness, Thickened or leather-like areas, which can occur after long-term irritation and scratching"
85,Atrial fibrillation and atrial flutter,"Fainting/Drowsiness, Confusion, Fatigue(Feeling Tired), Shortness of breath, weakness, Excessive sweating, Anxiety, Palpitations, chest pain, Loss of ability to exercise"
86,Atrial myxoma,"Fainting/Drowsiness, Cough, Unintentional weight loss, Joint pain, Fever-- usually low-grade, Shortness of breath that gets worse with activity, general swelling, Malaise(general discomfortness,ill feeling or uneasiness), Palpitations, chest pain, Breathing difficulty when lying flat, Breathing difficulty when asleep, Symptoms due to embolism of tumor material, Bluish skin, especially on the fingers (Raynaud phenomenon), Curvature of nails accompanied by soft tissue swelling (clubbing) of the fingers, Fingers that change color upon pressure or with cold or stress"
87,Attention deficit hyperactivity disorder,"Doesn't pay attention to details or makes careless mistakes, Has problems focusing during tasks or play, Doesn't listen when spoken to directly, Doesn't follow through on instructions and doesn't finish schoolwork or chores, Has problems organizing tasks and activities, Avoids or doesn't like tasks that require mental effort, Often loses things, easily distracted, often forgetful, Fidgets or squirms in seat, Leaves their seat when they should stay in their seat, Runs about or climbs when they shouldn't be doing so, Has problems playing or working quietly, Is often ""on the go,"" acts as if ""driven by a motor"", Talks all the time, Blurts out answers before questions have been completed, Has problems awaiting their turn, Interrupts or intrudes on others"
88,Atypical pneumonia,"Clammy skin, Cough, Confusion, Shortness of breath, Headache, Excessive sweating, fever, Loss of appetite, Fever-- usually low-grade, Chills, chest pain"
89,Autism spectrum disorder,"Be very sensitive to sight, hearing, touch, smell, or taste, Be very upset when routines are changed, Repeat body movements over and over, Be unusually attached to things, Can't start or maintain a conversation, Uses gestures instead of words, Develops language slowly or not at all, Doesn't adjust gaze to look at objects that others are looking at, Doesn't refer to self the right way, Doesn't point to show other people objects, Repeats words or memorized passages, such as commercials, Doesn't make friends, Doesn't play interactive games, Is withdrawn from social activity, May not respond to eye contact or smiles, or may avoid eye contact, May treat others as objects, Prefers to be alone rather than with others, Isn't able to show empathy, Doesn't startle at loud noises, Has very high or very low senses of sight, hearing, touch, smell, or taste, May find normal noises painful and hold their hands over their ears, May withdraw from physical contact because it's too stimulating or overwhelming, Rubs surfaces, mouths or licks objects, May have a very high or very low response to pain, Doesn't imitate the actions of others, Prefers solitary or ritualistic play, Shows little pretend or imaginative play, Acts out with intense tantrums, Gets stuck on a single topic or task, Has a short attention span, Has very narrow interests, Is overactive or very passive, Is aggressive toward others or self, Shows a strong need for things being the same, Repeats body movements"
90,Autoimmune hepatitis,"Nausea and vomiting, Fatigue(Feeling Tired), Joint pain, Loss of appetite, Clay-colored stools, Malaise(general discomfortness,ill feeling or uneasiness), Itching, Abnormal urine color, Abdominal distention"
91,Autonomic dysreflexia,"Fainting/Drowsiness, Excessive sweating, Fever-- usually low-grade, Anxiety, High blood pressure, Nasal congestion, Blurred vision, Bladder or bowel problems, Goosebumps, flushed (red) skin above the level of the spinal cord injury, Irregular heartbeat, slow or fast pulse, Muscle spasms, Throbbing headache"
92,Autonomic neuropathy,"Nausea and vomiting, Difficulty swallowing liquids and solids, Shortness of breath that gets worse with activity, Fast or irregular heartbeat, High blood pressure, Swelling of abdomen, diarrhea, Constipation, Feeling full after only a few bites, Problems controlling bowel movements, Blood pressure drop with position that causes dizziness when standing, Difficulty beginning to urinate, Feeling of incomplete bladder emptying, Leaking urine"
93,Avoidant personality disorder,"easily hurt when people criticize or disapprove of them, Hold back too much in intimate relationships, reluctant to become involved with people, Avoid activities or jobs that involve contact with others, Be shy in social situations out of fear of doing something wrong, Make potential difficulties seem worse than they are, Hold the view they are not good socially, not as good as other people, or unappealing"
94,Bacterial gastroenteritis,"Pain in the abdomen, Nausea and vomiting, Blood in the stool, fever, Loss of appetite, Fever-- usually low-grade, Abdominal cramps"
95,Balanitis,"Redness of foreskin or penis, Other rashes on the head of the penis, Foul-smelling discharge, Painful penis and foreskin"
96,Barbiturate intoxication and overdose,"Shallow breathing, Coma (lack of responsiveness), Slurred speech or difficulty swallowing, Incoordination, Altered level of consciousness, Difficulty in thinking, Faulty judgment, Sluggishness, Staggering, difficulty with balance"
97,Bartholin cyst or abscess,"Fever-- usually low-grade, A tender lump on either side of the vaginal opening, Swelling and redness, Pain with sitting or walking, Pain with sexual intercourse, Vaginal discharge, Vaginal pressure"
98,Bartter syndrome,"Low blood pressure, Increased need to urinate, weakness, Constipation, Muscle cramps, Rate of weight gain is much lower than that of other children of similar age and sex, Kidney stones"
99,Basal ganglia dysfunction,"Changes in muscle tone, especially muscle spasms and uncontrolled movements, Movement changes, such as involuntary or slowed movements, Increased muscle tone, tremor in full body, Problems finding words, Uncontrollable, repeated movements, speech, or cries (tics), Walking difficulty"
100,Bassen-Kornzweig syndrome,"weakness, Decreased peripheral vision, Slurred speech or difficulty swallowing, Slowed growth, Incoordination, Possible, slow intellectual development, Curvature of spine, Poor muscle coordination that usually develops after age 10, Protruding abdomen, Stool abnormalities, including fatty stools that appear pale in color, frothy stools, and abnormally foul-smelling stools"
101,Becker muscular dystrophy,"Difficulty walking that gets worse over time; by age 25 to 30, the person is usually unable to walk, Frequent falls, Difficulty getting up from the floor and climbing stairs, Difficulty with running, hopping, and jumping, Loss of muscle mass, Toe walking, Muscle weakness in the arms, neck, and other areas is not as severe as in the lower body"
102,Beckwith-Wiedemann syndrome,"Low blood sugar, Large size for a newborn, Red birth mark on forehead or eyelids (nevus flammeus), Creases in ear lobes, Large tongue (macroglossia), Abdominal wall defect, Enlargement of some organ, Overgrowth of one side of the body (hemihyperplasia/hemihypertrophy), Tumor growth, such as Wilms tumors and hepatoblastomas"
103,Bell palsy,"Weakness of the face or facial asymmetry, Difficulty closing one eye, Difficulty eating and drinking because food falls out of one side of the mouth, Drooling due to lack of control over the muscles of the face, Drooping of the face, such as the eyelid or corner of the mouth, Problems smiling, grimacing, or making facial expressions, Dry eye, which may lead to eye sores or infections, Dry mouth, Headache if there is an infection such as Lyme disease, Loss of sense of taste, Sound that is louder in one ear (hyperacusis)"
104,Benign positional vertigo,"Nausea and vomiting, Hearing loss, Loss of balance, Feeling like you are spinning or moving, Feeling like the world is spinning around you, Vision problems, such as a feeling that things are jumping or moving"
105,Beriberi,"Rapid heart rate, Stupor (lack of alertness), Shortness of breath that gets worse with activity, Pain in the arms or legs, Swelling of legs, Speech problems, such as a slow or abnormal speech pattern (slurring of words), Numbness and tingling of hands or feet, Vomiting, Walking difficulty, Loss of feeling (sensation) in hands and feet, Loss of muscle function or paralysis of the lower legs, Strange eye movements (nystagmus), Awakening at night short of breath"
106,Bilateral hydronephrosis,"Nausea and vomiting, Increased need to urinate, Decreased urine output, fever, Back pain, Blood in the urine, Fever-- usually low-grade, Urinary incontinence"
